,logFC,pvalue,FDR
ATP5PF,-2.63445599915441,0.00019877178105332,0.00711982540375911
LRRFIP1,1.02731968214785,0.000202171038071963,0.00721287392197171
PPIA,-2.92329074526121,0.000202381423175413,0.00721287392197171
NDUFB6,-1.90021521612832,0.000203378062521131,0.00723031835237219
MGST2,-3.83949191872441,0.000206874177562821,0.0073363141177502
HNRNPA3P11,-2.97419654372632,0.00020765087479413,0.0073445026856443
AP000942.1,-1.01109505739474,0.000208135457702041,0.0073445026856443
SPPL3,-3.05468406733798,0.000209815104350475,0.00738549167313671
MALAT1,1.09423544284111,0.000211845302357516,0.00743858775962747
RPLP0,-2.88311046971325,0.000212492088163097,0.00744296611511819
RPS2P46,-3.35842176005694,0.000213602467807439,0.00746352152221286
AC245054.2,-6.35822565723877,0.000216739124225929,0.00752799098309207
ADSL,-3.18672377464292,0.000216826340624476,0.00752799098309207
RPL21P75,-1.0453374960324,0.000217031726574834,0.00752799098309207
PITPNC1,-1.85668489932007,0.000219797249607634,0.00760541162720007
YBX1,-1.90019933417465,0.000222166979767291,0.00766879531128935
AP001496.2,-1.79644932275336,0.000224475860662321,0.007717941799925
RPL15,-3.07909667765505,0.000224673530230701,0.007717941799925
PBXIP1,1.6684130084003,0.000228221052125166,0.00782095990167396
BTF3L4,-2.79210081110278,0.000237241041141534,0.00809236738563131
CLDND2,11.3665772496982,0.000237276204208325,0.00809236738563131
TCTEX1D2,-5.43307169984596,0.000240007433960798,0.00816598085571632
ETNK1,-2.32786912089589,0.000244423077545686,0.0082941240215995
RAB11FIP1,2.72180668469013,0.000244937304509918,0.0082941240215995
LY6E,1.95352661374851,0.000246703565762396,0.00833413752016284
PTPRJ,4.48547253551333,0.000247746930271298,0.00834959867127096
H2AFZ,-4.19957243846325,0.000255356854360178,0.00858228974455208
NAP1L4P3,-2.49757510835787,0.000255873425359598,0.00858228974455208
KCNMA1,-6.80280568162271,0.000256457311390235,0.00858228974455208
PKM,-1.68028738358916,0.000257495431041699,0.00859684980077391
HLA-J,3.48970509669085,0.000258925610576943,0.00862440071117968
AL138899.2,-4.99412083395849,0.000264911115439914,0.00880320014384946
SEMA4C,5.09366863384969,0.000269991773979128,0.00894233088536869
OSBPL5,-5.48840479538077,0.000270352455919887,0.00894233088536869
AL590135.1,-2.21855556569489,0.000278022242815368,0.0091694651379151
BRD7P2,-2.69405183970967,0.000279286994943617,0.0091694651379151
FBXL12,-3.21374382442057,0.000279944957902845,0.0091694651379151
PRDM2,2.58452970685536,0.000280321873034617,0.0091694651379151
SMIM8,-3.25267885090492,0.000280496074296366,0.0091694651379151
TMEM14C,-2.2643895924681,0.000281566688822954,0.0091694651379151
NFKBIA,2.53125502008504,0.000282154431905046,0.0091694651379151
UBE2E3,-3.72112724935432,0.000282980840721092,0.0091694651379151
CRTAM,-2.44162206997469,0.000283008183268985,0.0091694651379151
RPS7P11,-1.51101008172105,0.00028669059107056,0.00926771216848503
AL009174.1,-0.66350059743419,0.000289919917615622,0.00935090123422694
AC012498.2,2.39336112391014,0.000293424626902294,0.00942572817693757
HNRNPR,-1.49481185164916,0.000293562241200918,0.00942572817693757
CPD,3.81465748432806,0.000296463594253837,0.00946467410337324
PRRC2B,-1.46538438227126,0.000296497701242737,0.00946467410337324
AC011270.1,-3.38632435033758,0.00029676692790459,0.00946467410337324
HSD17B4,-4.68432981074042,0.00030157748899462,0.0095958322994431
HNRNPA1,-2.85269659780691,0.000302225638499576,0.0095958322994431
MICAL1,-2.01984102748907,0.000307214632340291,0.00973255955254043
FTH1P16,-1.17782046976439,0.000315921070063507,0.00998618797078794
HHAT,-7.29033277639478,0.000319329112373867,0.0100715836858448
LMBR1L,-3.25830353799081,0.00032144612841245,0.0101097015841158
TNFSF14,2.68307265839409,0.000321955984791567,0.0101097015841158
S100A10,1.74685133277334,0.000325320697224574,0.0101929051860077
PHLPP1,-6.92460341074661,0.000332753878778402,0.0104029370523353
AC087500.1,-8.90936483731037,0.000333685819523533,0.0104092451709573
COL6A2,5.24219422661319,0.000335629003746063,0.0104470023524102
HOXA10-AS,-7.49914940532089,0.000341171427450049,0.0105963831584486
RPL21P93,-0.571949284828721,0.000343120322019552,0.010633746327632
NDUFB4P12,-2.50216036103268,0.000347241565046175,0.0107199246899426
BNIP3L,-2.24033060125801,0.00034746476367975,0.0107199246899426
AC079140.2,-1.43732153729204,0.000348156925606302,0.0107199246899426
RPS7P1,-1.98179025238065,0.000358503808356669,0.0110147204567515
NARF,-2.09440699363349,0.00036126997484287,0.011075838196473
C16orf87,-4.11933474639284,0.000365795525229307,0.011190517183839
DAPK2,9.77657665874058,0.000368044191508377,0.0112351991309281
PLEKHA1,3.33262226199597,0.000370084962703521,0.0112733573254303
PRPF40A,-1.44285080569947,0.00037139186062829,0.0112890455546202
GPR183,3.76394685304055,0.000374130163756092,0.0113383998122398
SPATS2,-4.67371832796336,0.000374606222752871,0.0113383998122398
NDUFB8,-1.74538140850237,0.000379863255722923,0.0114731579948856
WIPF1,1.13240838507167,0.000383371790320775,0.0115546474478075
UBA52,-0.784673536308126,0.00038591952370759,0.0116068960548004
NCOR1,-1.29711919738029,0.000395176412764542,0.0118602840849922
NAP1L1P1,-2.39503963005294,0.000397406062476846,0.0119021445938444
CCT8,-2.19777314501904,0.000412722847218383,0.012334962075357
RPL37,-1.46997815682018,0.000425275129247393,0.0126724489602137
TCEAL1,-5.57659666891279,0.000426586884075597,0.0126724489602137
ASB3,-3.19167113541449,0.000426681783172178,0.0126724489602137
RPS7P3,-1.34948713573157,0.000429306002995622,0.0127238802052091
CNOT8,-2.53357951457327,0.000430491674896616,0.0127325504508841
PTMAP11,-3.62465785526003,0.000433545342186648,0.012796319665037
CDCA7,-5.59025797679826,0.000438073876339096,0.0129032669030788
PAIP2,-1.4284081575411,0.000443701206129909,0.0130420709166763
LEF1-AS1,-4.5407951017598,0.000445706688813274,0.013074062871856
FNIP2,-5.14290236040653,0.000449232496582797,0.0131334315603676
LPAR6,-2.48751734961529,0.000449573134221337,0.0131334315603676
MAGEH1,-3.72059601299673,0.000452468958855867,0.0131909968863993
AL365475.1,3.38908639137018,0.000453779842771951,0.0132022151807284
AP001324.1,-3.03713413667601,0.000456437638219453,0.0132524948481803
FTH1P20,-1.00354461241825,0.000470005767078119,0.0136187036899709
ARMC1,-2.9427708855575,0.00048658805284052,0.0140705867774735
CYTH2,-2.78431049150255,0.000488425008715154,0.0140951152312616
KRT1,-4.94625481146464,0.000491458131052447,0.0141539941743105
ITM2B,-0.949365221520701,0.00049306476768618,0.014158612561777
CNOT7,-2.04419478840557,0.000493604829068683,0.014158612561777
ILF3,-1.29350495169591,0.000501334213865112,0.0143321989486529
NCALD,4.79593313666922,0.000501667177004617,0.0143321989486529
RAB3GAP1,-2.63267083208233,0.000507115239985811,0.0144588697224755
HHIP,-5.94867641886311,0.000509900761476501,0.0145072534679034
PXYLP1,-5.86159028516386,0.000510847449557206,0.0145072534679034
NDUFC2,-2.00695760771521,0.000512572810917322,0.0145273121122015
CRIP1P4,4.48722917269857,0.000514927554300493,0.0145401147838177
NPIPB6,-5.75726061505573,0.000515064391542364,0.0145401147838177
SELPLG,2.03202997909797,0.000544104028666892,0.0153295395902672
AC079922.1,-2.37286804688453,0.000555061631442699,0.0155634041418394
HDGFL3,-2.90222381186013,0.000555592096838309,0.0155634041418394
ZMAT2,-2.08991936835809,0.000555679903773587,0.0155634041418394
ATP5MD,-1.62874102824667,0.000560299557007427,0.0156620205582311
MAGEF1,-4.02905461372177,0.000562207134025994,0.0156845888506352
PARP14,1.97725113764355,0.000563808288201573,0.0156985370246125
STAU2,-2.51788169964974,0.000566964356287225,0.0157556410589292
MZB1,-3.56045563252722,0.000574098190115002,0.0159181885915669
BTN2A1,2.96769147593975,0.000575046796061796,0.0159181885915669
TCEAL9,-7.4493134700065,0.000580816307938048,0.0160467389262884
SYN2,-5.5691070036193,0.000594349792951365,0.016388879397127
LINC01226,-6.4364637592746,0.000597004064979534,0.0164302894794367
AC011495.1,-1.32713124651891,0.000601361707215808,0.0165183285126562
CNTLN,-6.61977440335007,0.000607276258604461,0.0166487121974331
CBX5,-3.73016256678061,0.000616749306388664,0.0168759656657904
GLUL,-2.59277586423333,0.000620524813400469,0.0169190703939773
ATP5MG,-1.97185698973366,0.000620698219419902,0.0169190703939773
FNIP1,-3.62143732176362,0.000623146600879032,0.0169533930193349
EIF1AY,-3.38951720081975,0.000631035744218522,0.0171353248944367
MT-ND4,-1.55065959926922,0.000653136913168595,0.0177017487340903
APEX1,-1.83726201226474,0.000654868527750541,0.0177150013882575
MT-ATP6,-1.41609378392428,0.000668054450695843,0.0180178339383671
GRSF1,-2.05064123333927,0.000668591060142831,0.0180178339383671
CCT8P1,-2.56058441259903,0.000670968270857886,0.0180191242664276
YBX1P10,-1.89783477992653,0.000671166876085372,0.0180191242664276
RPS2P7,-3.1909398053659,0.000681045008441572,0.0182499579705696
SET,-2.4522835746926,0.000685619416318395,0.0183380682908725
IRGQ,-3.83854614398879,0.000690283550123238,0.0184282439898069
PCDH9,-9.94133229576224,0.000692218734888894,0.0184453650178992
HERC2,-2.0856314786119,0.000693675259205162,0.0184496912224418
TMEM143,-6.91525088907122,0.000696706707220218,0.0184958115793881
EIF2S2P4,-1.96667989940753,0.000698583232033756,0.0185111571670506
RPS11,-0.737377432746059,0.00070032471820225,0.0185228741793901
FAM117B,-3.69308920283313,0.000703523404251172,0.0185730178722309
SLC25A35,-4.9540373581603,0.000708736229204754,0.0186760511710591
DEPDC1,-8.17036676519719,0.000710406520451845,0.0186855264862758
BRD4,-1.17312451112263,0.000712869699781793,0.0187157834992435
ZNF793,-3.84537937491965,0.000716144265113683,0.0187671923593027
MCCC2,-2.80828738808263,0.000726645556275662,0.0190074477986529
TMEM263,-2.45660277664089,0.00073267098308627,0.0191299588550877
CTCF,-1.8264743986264,0.000740652715271906,0.01930300751173
FAM117A,2.78129275009435,0.000745419716502882,0.0193917946687319
TOX,-4.93325889695456,0.000757633702690774,0.0196736358206916
NDUFB8P2,-2.83066109019635,0.000761261690403803,0.0197319030152666
HNRNPA1L2,-3.07351504376886,0.000763403665398177,0.0197515111686323
DNTT,-6.97401448628918,0.000765012012363231,0.0197527183064651
HDAC1,-2.15592844910838,0.000767334481348025,0.0197527183064651
CDC42EP3,2.26899225291937,0.000767607038564933,0.0197527183064651
RPS29P5,-3.7666600408581,0.000774457526246497,0.0198930927822884
AL122020.1,-2.57647346057644,0.000779004878778577,0.0199739092659486
SLAMF6,2.28099725408787,0.000781200019279948,0.0199942324503679
MT-ATP8,-2.6218956674917,0.000784997404498999,0.0200554175601035
ARHGAP18,4.95843368781857,0.000788936040659549,0.0201199860387165
SVIL,-3.46518394839449,0.000796380438078947,0.0202735705808098
TBL1X,3.44214126452636,0.00080437326581273,0.0204405441665353
PMPCB,-2.32552503029085,0.000807124026919848,0.0204739504052835
CD8A,6.96547606680383,0.000810996861676072,0.0205356505507177
ZNF737,-3.11294540866681,0.000820284271990879,0.0207339939388333
AL445189.2,-3.18665570886876,0.000822043066863398,0.0207416742676188
FAM104B,-3.63760109399723,0.000824080981086328,0.0207563577144288
ZNF726,-7.48825532095713,0.000829859127832844,0.0208650294997972
SLC25A11,-3.0988739200107,0.000834400558520465,0.0209422788068094
ACAA1,-1.97668903663857,0.000840689257563088,0.0210630334900165
NCOA4,-1.91674433591899,0.000844254289637858,0.0211152441282058
RPL24P2,-1.48619124869712,0.000863299123856409,0.0215057268632899
MAP3K12,-1.94789396585322,0.000863544521202853,0.0215057268632899
RPL23A,-2.59450408516485,0.000864392641180212,0.0215057268632899
SNX6P1,-6.55794848936456,0.000867213029151381,0.0215383082640803
ATP5PDP4,-2.03368478189995,0.000869273504014556,0.0215519357795331
RPS23P2,-2.46208539336396,0.000872904335352698,0.0216043822999793
AC019205.1,-3.59275341833137,0.000878422068249729,0.0217032669063573
AC069213.3,-2.24842618656917,0.000890608959138395,0.0219162564588051
CD81,1.50237599123175,0.000890886307835292,0.0219162564588051
CIDEB,3.99860580756889,0.000891654653907614,0.0219162564588051
RAB11A,-2.32691667243806,0.000905410600017587,0.0221977147755572
PNPT1,-2.52811646244978,0.000906219837217614,0.0221977147755572
UIMC1,-3.3448719852871,0.00090996217784356,0.0222511506129293
ARIH2,-2.02531878123868,0.000920597327114026,0.0224726635194136
NEDD4,-5.84766433497417,0.000924816552171914,0.0225370679790817
AC007969.1,-2.17224102097158,0.000927676630825269,0.0225681877970052
RPS3AP6,-3.72816771311199,0.00093145745842782,0.0226215630789557
TIPRL,-2.24752378593019,0.000935309495793124,0.0226764832857598
NEAT1,1.81144363688876,0.000939518376926851,0.0227398539583518
ENOPH1,-3.2023666410953,0.000941707922065271,0.0227542171812924
STMN3,-1.32390925606372,0.000944432558152686,0.0227814391692465
SRP19,-2.39146053035398,0.000946309032619497,0.0227881445422695
NACA3P,-1.90929969392123,0.000956325143235071,0.0229905079965585
HMGB3,-4.70025321610312,0.000960743175764001,0.023057836218336
TBC1D5,3.05913049014561,0.000970187575311976,0.0232453681910043
BX322650.1,-5.46132768863222,0.000973897564329085,0.0232951068407306
EMP3,2.02934110407849,0.000978971097415182,0.0233772394719444
VSIR,3.03329111167021,0.00098122059406569,0.0233917738946496
AKR1C2,-7.55055783582783,0.000984036847938241,0.0234197484210477
MRPS15,-2.59528918518847,0.000988715387614469,0.023474137916995
TET3,-3.75513431756787,0.000990032135746666,0.023474137916995
RPS12,-1.80839907924989,0.000991261996775461,0.023474137916995
KCTD7,3.74340817150877,0.000994384664905978,0.0235090344658369
RRM2,-14.2272529544216,0.00100082860312589,0.0236222062353687
HMGB1,-2.37777052663164,0.00100760227380048,0.0237427735790076
SNRPN,-1.7079646547508,0.00101022302016041,0.0237652464940705
RBM17,-1.79362020631064,0.00101901862570575,0.0239326680857679
GRAP2,-1.46351245494933,0.00102153814679928,0.0239523812841621
RIMKLB,-4.13967906951302,0.00102433080754982,0.0239784236328904
PIP4K2A,1.79423529791595,0.00103684653246616,0.0242316133882584
CBX8,-7.88800907447114,0.00105048892167114,0.0244858256113519
NRBP1,-3.04003065038932,0.00105115918028531,0.0244858256113519
CFAP20,-2.40386655428959,0.00106225397157622,0.0247039031301641
DYNLL1,-2.77628110462146,0.00106879038512497,0.0248154327855727
RPL9,-2.27737434186703,0.00107105834665788,0.0248276549430159
SIRT6,-5.02592551523819,0.00107450068943715,0.0248506671286961
PLXNB1,-6.48829764160005,0.00107714701209916,0.0248506671286961
AC008549.2,5.85859506284282,0.00107846894965624,0.0248506671286961
RPS16,-2.11488526614339,0.00107902377614078,0.0248506671286961
CHD8,-1.76818994939966,0.00108173946529377,0.0248730287374646
DYNLL1P2,-7.87384296912417,0.00109638571213155,0.0251372034530789
GAPDHP65,-3.5704206435014,0.00109675508893203,0.0251372034530789
MGAT4A,2.52332629159254,0.00109892079465113,0.0251464122769606
RPL7P44,-7.07796566295195,0.00110439380488425,0.0252311507731248
HERC2P2,-2.25768555259616,0.00110656805122378,0.0252403746211939
LPIN2,2.17623603854373,0.00111776385334506,0.0254456781211489
ZNF93,-5.72584740284996,0.00111913862106905,0.0254456781211489
TNFRSF1B,2.41433096263694,0.00112576229331984,0.0255555211044071
WDR45B,-2.83706742126284,0.00113531143754975,0.0257313193222722
PIK3C2B,-3.30204787506328,0.00115036320784878,0.0260310760176067
CCDC136,-3.85578988858663,0.00115709863906521,0.0261419939754575
AC008481.1,-2.68696515205003,0.00117754553567273,0.0265618499312507
RPL15P3,-3.78956773647681,0.00118354972687862,0.0266551104366218
ZNF433-AS1,-3.23912065527623,0.00119601701788796,0.0268393352441476
DNMT3A,-1.82847367992086,0.00119695370784367,0.0268393352441476
GRINA,-3.01294484082279,0.0011973777507911,0.0268393352441476
TAX1BP3,-4.70569329986879,0.0012076775007529,0.0269908249079243
ZNF195,-2.56947783078824,0.00120792271964476,0.0269908249079243
TRMT112,-1.31617697231882,0.00121135096117531,0.0270250693310096
MRPL52,-2.17283945049212,0.0012140722279177,0.0270434588768667
MAPK6,-3.72775519891986,0.00122032015736362,0.0271402249038623
RBIS,-1.79704690067381,0.00122406827346988,0.0271811796052751
BRPF1,-2.71412447051599,0.00122739771515357,0.0272127244591435
PPIAP22,-2.86205039473014,0.00123516130335199,0.0273104046002818
UBE3A,-1.58972198766218,0.00123627580970354,0.0273104046002818
ATXN7L3,-2.44536423799606,0.00123755060127539,0.0273104046002818
SRP72P2,-5.72298609659542,0.00123983362224245,0.0273184978650515
UACA,-7.96037421139854,0.00124300261296761,0.0273460574852875
MAPK8,-3.52361058806374,0.00125276141191988,0.0274967550747482
AC015871.1,-5.67711626074101,0.00125371007285258,0.0274967550747482
TRAPPC3,-2.13453100350958,0.00126713249677102,0.0276901907932365
PDZD4,6.45428962622279,0.00126811057345322,0.0276901907932365
ZCRB1,-1.90165142085324,0.00126835680330972,0.0276901907932365
PABPN1,-1.74682254140011,0.00127638874757785,0.0278229326994952
IGFBP2,-2.59856625547386,0.00128364249319135,0.0279383318823449
PDE3B,2.71408896824311,0.00128895967631548,0.0279771734973375
BEX1,-4.48754474062989,0.00128935206143033,0.0279771734973375
FP236241.1,-3.68909744937836,0.00130306001919078,0.0282316468595498
SEM1P1,-6.21091375286204,0.00130920785203525,0.0282965966662635
AC006539.1,-3.41120265646913,0.00131002762343813,0.0282965966662635
HERPUD2,2.16959488889603,0.0013334159573043,0.0287582116298488
ISCU,-1.34490454114365,0.00135943569722807,0.0292750986400051
RPS8,-1.99348290946516,0.001371739575873,0.0294556704153507
ARMCX1,-8.40528189764044,0.00137195322361061,0.0294556704153507
SUB1P4,-4.2098712729663,0.0013781590512244,0.0295444141868498
SFXN3,6.20460655310774,0.00138039939771928,0.0295480087295586
RPL18AP15,2.20161714664001,0.00138387939776397,0.0295780879977857
CPSF6,-2.68428202199725,0.00139512518311036,0.0297738092970378
CPT2,-4.61722564826594,0.00140463843929983,0.029915990580938
AARS,-3.05304422997181,0.00140598440581008,0.029915990580938
AC004556.3,-2.61425199200341,0.00141320005897583,0.0300079279886238
U2AF1L5,-1.35117125285784,0.00141470282100498,0.0300079279886238
HOOK3,-1.96305490448259,0.00141662005726317,0.0300079279886238
PUM1,-1.49305329801166,0.00142156538071825,0.0300680060348952
BTG2,-3.41913141648517,0.00143633155086087,0.0303353223541816
SNHG19,-2.61353140797102,0.00145872037243977,0.0307626000436411
ING3,-2.64791476992937,0.00146386604773807,0.0308255160658109
TGFBR1,3.34268000438394,0.00149147704488561,0.0313525870956799
VIM,-1.92341978753836,0.00149329451725355,0.0313525870956799
AC090071.1,-6.89395067142349,0.001501391941089,0.0314566694768985
RPL21P131,-1.18736009893564,0.00150266497711615,0.0314566694768985
ATP5F1AP2,-2.94713964946214,0.00150513050124546,0.0314620827357115
ZNF207,-1.12460294291402,0.00151345996761953,0.0315898759859211
RPL5P29,-2.70892044921593,0.00151689309614345,0.0316152455827792
RAB2A,-2.04385977572864,0.0015243080525762,0.0317234096314252
TRUB2,-3.25609916725068,0.00157278268404715,0.0326372380515268
RPL39P3,-2.99846820333183,0.0015738756359015,0.0326372380515268
UBE2L3,-1.76262971601368,0.00157518525147304,0.0326372380515268
RPL5P9,-1.09507811069916,0.00157737493108179,0.0326372380515268
PTPA,-2.53945098519915,0.00159500070747476,0.0329541015735655
AF201337.1,-4.53676213179312,0.00159877838559208,0.0329843482850951
