,logFC,pvalue,FDR
Z93930.2,7.45778841742207,7.7456722104241e-05,0.00347239946640899
MCTP2,5.19951307398032,8.15844480530625e-05,0.00364598085092307
SPRED2,-5.68580916498152,8.20629182656241e-05,0.00365590300873355
CASP8,2.34668274557272,8.31719951686072e-05,0.00369376935552543
PLCXD1,-4.99102335679644,8.52082153826039e-05,0.00377244819408199
WDFY1,6.30620175889058,8.57465614805264e-05,0.00378206456899033
RPL11P3,-1.51734085789167,8.59560129315984e-05,0.00378206456899033
UPF3A,-2.72040295202186,8.69344801522898e-05,0.00380254074862458
RASSF3,4.80662328046505,8.69548459632163e-05,0.00380254074862458
PPIAL4C,-3.12804255582653,8.85699920379901e-05,0.00386132662536265
SDE2,-4.5713000194639,8.97263391649306e-05,0.00389981308272942
RPS15,-2.68209471278724,9.44945256545759e-05,0.00408526367346465
BRD7,-2.24788574135542,9.45662887376075e-05,0.00408526367346465
AC008124.1,-3.33799106892317,9.4910239562207e-05,0.004087735272504
HES1,-7.86413168940224,9.61968500903243e-05,0.00412448730988819
PAK1,-4.63563653186268,9.63421909506712e-05,0.00412448730988819
BCAT1,-5.75848706731897,9.8633444216345e-05,0.00420993527170124
GNAS,-1.44885694939824,0.00010016007352287,0.0042623343526628
AL355581.1,8.14397944677849,0.000102322704615743,0.00434140618155365
TUBB,-4.33638125206013,0.000103160906587574,0.00436398185255921
ERAP2,2.46021459223716,0.000105165027155185,0.00443559948853349
SAMD3,3.33567083122256,0.000106735238268985,0.00448854736508155
PFDN4,-2.8236947709686,0.0001080122306788,0.0045288892957558
CDC42,-1.22481659922921,0.000109020075010124,0.00455774249074585
RTRAF,-2.13399844920025,0.000109577401473215,0.00456386993478039
GNG5,-4.08317821269616,0.000110119029053557,0.00456386993478039
GNG5P1,-9.62131409963698,0.000110127052298292,0.00456386993478039
SAMD1,-2.8286605645048,0.000111314664094642,0.00459971551111076
TMEM256,-2.66298745564618,0.000112200231269344,0.00462290895079701
APOL6,2.01858157484536,0.000112565167473266,0.00462457932996797
PNRC1,1.14966760183048,0.000114666286971321,0.0046973637559286
TUBA1A,-6.54655751955541,0.00011757106567134,0.00480255906077543
PPP6R2,-2.6183560668604,0.000118763538140887,0.00483740857067567
GNG5P2,-3.61943354194597,0.000120876303144279,0.00490584456676568
FAM120AOS,-2.71563141649367,0.000121131964611498,0.00490584456676568
LINC00623,2.21379995900467,0.000125182641716681,0.00505234654407819
CASP6,-3.90479022258173,0.000125458100210696,0.00505234654407819
AC104306.1,-0.885140122400257,0.000128359914269849,0.00515464489529849
ARMC6,-4.12365371498916,0.00012915172967487,0.005169864994532
SLCO3A1,4.3938043398101,0.000129464211773844,0.005169864994532
HLA-G,3.61097696449673,0.000129840038029738,0.00517038989427918
AKR1C3,-6.06452079741094,0.000131987965971914,0.00524128257073984
TAGLN2,1.76919026781485,0.000132393819027965,0.00524279523350741
GAPDHP1,-4.06531291176942,0.000133631680804824,0.00526985061640616
PLEKHG2,-4.67970989070499,0.000133816352633209,0.00526985061640616
AC008875.3,2.64314233238767,0.000135837396239347,0.00532301717045904
FNBP1,-0.995253750975093,0.000136357911755591,0.00532301717045904
THEMIS2,5.61740706650021,0.000136644806040254,0.00532301717045904
SUN2,1.35272880116999,0.000136659952608587,0.00532301717045904
LZTFL1,-5.08424383003725,0.000137659733305151,0.00534734920435486
MRC2,-5.65116576926719,0.000140099645286162,0.00542733843260743
CD1B,-6.80739105308163,0.000141697266856644,0.00547435294392498
AC079944.1,-2.04785757993293,0.000142974284599973,0.0054967543124152
ID2,1.91757548066333,0.000143048249853117,0.0054967543124152
AL603766.1,-3.82237085672424,0.000143789236307312,0.00550210272621942
RPSAP15,-0.664462699215451,0.000143959337603805,0.00550210272621942
AC008038.1,-1.05604804121404,0.00014916462765624,0.00568580463066137
ERO1B,5.44832377954256,0.000150124042210487,0.00569508620776142
AL663058.1,-9.84318723497237,0.000150207099755773,0.00569508620776142
MIR1244-4,-3.56175370657224,0.000153026267210143,0.00578658478872097
ABCC1,-3.68676706041857,0.000154612915452268,0.00583111566848553
ACTL6A,-3.99603615163977,0.000156108122092102,0.00587197200143802
RPL5P34,-1.71865909845046,0.000160650542978202,0.0060269319492033
AL008987.1,-9.91323038390371,0.000161352713325735,0.00603738656475507
LINC00649,2.79982365812187,0.000162309621230095,0.00605729308967599
TRGJP,3.23555804435113,0.000164324526592763,0.00611647637364602
FBXW7,-2.73388668215594,0.000165462046218701,0.00614277846586926
PIKFYVE,-2.91987937182071,0.000166827852645102,0.00617739705794434
CBX3P9,-4.02203789431914,0.000171225634183148,0.00632381513190402
RPL7P32,-2.11179751889784,0.00017293544109509,0.00635567720154486
BTBD3,-7.42331331249753,0.000172979991175604,0.00635567720154486
TSPOAP1-AS1,-2.59248409986768,0.000173801469247725,0.00635613867638927
ABI2,-2.58889428144285,0.00017402783567122,0.00635613867638927
RNF157,6.47644939999504,0.000174330122227007,0.00635613867638927
RPS2P55,-3.79392781719121,0.00018213165802794,0.0066236451960365
AL049872.1,-4.16846123928745,0.000183712953233717,0.00666415231882918
FRY,-5.49077250599385,0.000186720609510416,0.00675606347507738
TRGV9,4.01821019367173,0.00018807328707604,0.00678777919128109
NDUFS6,-1.72931725336299,0.000190667073845407,0.00686401465843467
AC106806.1,-2.83142547979891,0.00019172688287028,0.00688478197027383
